File,Original GPOS Size,mode=one,Change one,mode=auto,Change auto,mode=max,Change max
DeliusUnicase-Regular.ttf,0.63,0.50,-21.23%,0.50,-21.23%,0.54,-15.69%
DellaRespira-Regular.ttf,16.39,15.04,-8.28%,15.48,-5.56%,27.39,67.07%
Devonshire-Regular.ttf,7.62,7.27,-4.64%,7.09,-6.94%,9.85,29.21%
Dhurjati-Regular.ttf,0.03,0.03,6.67%,0.03,6.67%,0.03,6.67%
Dhyana-Bold.ttf,0.16,0.16,0.00%,0.16,0.00%,0.16,0.00%
Dhyana-Regular.ttf,8.07,7.97,-1.21%,7.37,-8.69%,8.21,1.84%
DidactGothic-Regular.ttf,33.09,27.22,-17.75%,27.46,-17.01%,31.71,-4.19%
Diplomata-Regular.ttf,0.27,0.26,-4.29%,0.26,-4.29%,0.26,-4.29%
DiplomataSC-Regular.ttf,0.28,0.27,-4.14%,0.27,-4.14%,0.27,-4.14%
DMMono-Italic.ttf,3.46,3.46,0.00%,3.46,0.00%,3.46,0.00%
DMMono-Light.ttf,3.17,3.17,0.00%,3.17,0.00%,3.17,0.00%
DMMono-LightItalic.ttf,3.31,3.31,0.00%,3.31,0.00%,3.31,0.00%
DMMono-Medium.ttf,3.17,3.17,0.00%,3.17,0.00%,3.17,0.00%
DMMono-MediumItalic.ttf,3.53,3.53,0.00%,3.53,0.00%,3.53,0.00%
DMMono-Regular.ttf,3.24,3.24,0.00%,3.24,0.00%,3.24,0.00%
DMSans-Bold.ttf,17.94,17.94,0.00%,17.77,-0.93%,18.93,5.52%
DMSans-BoldItalic.ttf,17.58,17.58,0.00%,17.59,0.08%,18.61,5.87%
DMSans-Italic.ttf,17.56,17.56,0.00%,17.58,0.08%,18.60,5.87%
DMSans-Medium.ttf,17.91,17.91,0.00%,17.74,-0.93%,18.90,5.53%
DMSans-MediumItalic.ttf,17.56,17.56,0.00%,17.57,0.08%,18.59,5.87%
DMSans-Regular.ttf,17.93,17.93,0.00%,17.76,-0.93%,18.92,5.52%
DMSerifDisplay-Italic.ttf,20.86,20.27,-2.82%,22.19,6.39%,30.19,44.70%
DMSerifDisplay-Regular.ttf,23.76,23.27,-2.07%,24.85,4.56%,33.87,42.54%
DMSerifText-Italic.ttf,20.85,20.26,-2.82%,21.93,5.21%,30.13,44.54%
DMSerifText-Regular.ttf,23.68,23.18,-2.08%,24.65,4.11%,33.69,42.30%
DoHyeon-Regular.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
Dokdo-Regular.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
Domine[wght].ttf,39.69,39.69,0.00%,41.64,4.93%,54.52,37.37%
DoppioOne-Regular.ttf,0.03,0.03,6.67%,0.03,6.67%,0.03,6.67%
Dorsa-Regular.ttf,1.29,1.29,0.00%,1.29,0.00%,1.29,0.15%
Dosis[wght].ttf,40.48,40.46,-0.04%,39.63,-2.09%,41.84,3.35%
DotGothic16-Regular.ttf,0.30,0.30,0.00%,0.30,0.00%,0.30,0.00%
DrSugiyama-Regular.ttf,3.09,3.08,-0.38%,3.08,-0.38%,3.08,-0.38%
Dynalight-Regular.ttf,5.71,4.89,-14.33%,5.24,-8.24%,11.32,98.15%
EagleLake-Regular.ttf,22.91,22.68,-1.04%,23.45,2.34%,28.57,24.68%
EastSeaDokdo-Regular.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
EBGaramond-Italic[wght].ttf,95.09,79.38,-16.52%,78.64,-17.30%,91.60,-3.67%
EBGaramond[wght].ttf,146.83,108.35,-26.21%,103.80,-29.31%,119.22,-18.81%
Economica-Bold.ttf,0.65,0.65,0.00%,0.65,0.00%,0.65,0.00%
Economica-BoldItalic.ttf,0.61,0.61,0.00%,0.61,0.00%,0.61,0.00%
Economica-Italic.ttf,0.87,0.87,0.00%,0.87,0.00%,0.87,0.00%
Economica-Regular.ttf,0.51,0.51,0.00%,0.51,0.00%,0.51,0.00%
Eczar-Bold.ttf,19.81,19.80,-0.05%,21.15,6.79%,46.09,132.69%
Eczar-ExtraBold.ttf,18.42,18.39,-0.16%,19.54,6.11%,39.55,114.74%
Eczar-Medium.ttf,19.76,19.75,-0.05%,21.28,7.72%,46.92,137.50%
Eczar-Regular.ttf,19.01,19.00,-0.05%,20.57,8.24%,44.35,133.34%
Eczar-SemiBold.ttf,19.73,19.72,-0.05%,21.26,7.73%,46.90,137.66%
EkMukta-Bold.ttf,43.05,42.24,-1.86%,42.58,-1.08%,50.44,17.17%
EkMukta-ExtraBold.ttf,42.48,41.68,-1.89%,41.95,-1.25%,50.64,19.19%
EkMukta-ExtraLight.ttf,43.22,42.42,-1.86%,43.74,1.20%,51.83,19.92%
EkMukta-Light.ttf,43.75,42.95,-1.83%,43.90,0.34%,51.99,18.84%
EkMukta-Medium.ttf,44.17,43.36,-1.82%,43.68,-1.11%,51.25,16.04%
EkMukta-Regular.ttf,48.62,47.82,-1.65%,49.06,0.90%,58.27,19.84%
EkMukta-SemiBold.ttf,42.18,41.38,-1.90%,41.49,-1.64%,49.30,16.87%
ElMessiri[wght].ttf,38.62,38.25,-0.98%,36.31,-6.00%,36.95,-4.34%
Elsie-Black.ttf,0.03,0.03,0.00%,0.03,0.00%,0.03,0.00%
Elsie-Regular.ttf,0.03,0.03,0.00%,0.03,0.00%,0.03,0.00%
ElsieSwashCaps-Black.ttf,0.03,0.03,0.00%,0.03,0.00%,0.03,0.00%
ElsieSwashCaps-Regular.ttf,0.03,0.03,0.00%,0.03,0.00%,0.03,0.00%
"EncodeSans[wdth,wght].ttf",54.14,51.88,-4.17%,47.62,-12.04%,57.55,6.30%
EncodeSansCondensed-Black.ttf,27.49,26.18,-4.76%,28.63,4.14%,41.88,52.35%
EncodeSansCondensed-Bold.ttf,28.98,27.49,-5.15%,29.75,2.65%,47.40,63.56%
EncodeSansCondensed-ExtraBold.ttf,29.00,27.51,-5.13%,29.77,2.67%,47.42,63.54%
EncodeSansCondensed-ExtraLight.ttf,28.90,27.41,-5.14%,29.67,2.68%,47.32,63.76%
EncodeSansCondensed-Light.ttf,28.93,27.44,-5.16%,29.70,2.65%,47.35,63.66%
EncodeSansCondensed-Medium.ttf,28.91,27.41,-5.20%,29.67,2.61%,47.32,63.66%
EncodeSansCondensed-Regular.ttf,28.98,27.48,-5.17%,29.74,2.63%,47.39,63.54%
EncodeSansCondensed-SemiBold.ttf,28.97,27.47,-5.15%,29.73,2.65%,47.38,63.58%
EncodeSansCondensed-Thin.ttf,25.67,24.94,-2.84%,27.18,5.90%,39.81,55.11%
EncodeSansExpanded-Black.ttf,26.76,25.99,-2.90%,28.46,6.34%,41.75,55.99%
EncodeSansExpanded-Bold.ttf,28.28,27.30,-3.44%,29.59,4.64%,47.33,67.39%
EncodeSansExpanded-ExtraBold.ttf,28.29,27.30,-3.48%,29.59,4.60%,47.33,67.32%
EncodeSansExpanded-ExtraLight.ttf,28.16,27.18,-3.50%,29.46,4.62%,47.21,67.61%
EncodeSansExpanded-Light.ttf,28.21,27.23,-3.47%,29.51,4.63%,47.25,67.54%
EncodeSansExpanded-Medium.ttf,28.28,27.31,-3.44%,29.59,4.64%,47.34,67.38%
EncodeSansExpanded-Regular.ttf,28.27,27.30,-3.44%,29.58,4.64%,47.29,67.30%
EncodeSansExpanded-SemiBold.ttf,28.26,27.29,-3.46%,29.57,4.62%,47.31,67.40%
EncodeSansExpanded-Thin.ttf,25.85,25.08,-2.95%,27.33,5.74%,39.96,54.60%
"EncodeSansSC[wdth,wght].ttf",39.12,37.44,-4.30%,35.22,-9.97%,42.92,9.73%
EncodeSansSemiCondensed-Black.ttf,28.16,26.51,-5.84%,29.06,3.21%,42.33,50.32%
EncodeSansSemiCondensed-Bold.ttf,29.18,27.57,-5.50%,29.86,2.34%,47.60,63.14%
EncodeSansSemiCondensed-ExtraBold.ttf,29.15,27.53,-5.54%,29.82,2.30%,47.56,63.17%
EncodeSansSemiCondensed-ExtraLight.ttf,29.07,27.47,-5.50%,29.76,2.36%,47.50,63.39%
EncodeSansSemiCondensed-Light.ttf,29.05,27.44,-5.56%,29.72,2.31%,47.47,63.37%
EncodeSansSemiCondensed-Medium.ttf,29.17,27.57,-5.48%,29.85,2.36%,47.60,63.19%
EncodeSansSemiCondensed-Regular.ttf,29.16,27.56,-5.48%,29.85,2.36%,47.59,63.20%
EncodeSansSemiCondensed-SemiBold.ttf,29.14,27.53,-5.50%,29.82,2.34%,47.56,63.23%
EncodeSansSemiCondensed-Thin.ttf,25.82,25.06,-2.96%,27.30,5.73%,39.93,54.63%
EncodeSansSemiExpanded-Black.ttf,28.13,26.46,-5.93%,28.98,3.03%,42.28,50.29%
EncodeSansSemiExpanded-Bold.ttf,29.18,27.59,-5.47%,29.87,2.36%,47.61,63.15%
EncodeSansSemiExpanded-ExtraBold.ttf,29.20,27.60,-5.48%,29.88,2.35%,47.63,63.11%
EncodeSansSemiExpanded-ExtraLight.ttf,29.11,27.51,-5.51%,29.79,2.34%,47.54,63.28%
EncodeSansSemiExpanded-Light.ttf,29.09,27.49,-5.49%,29.78,2.36%,47.52,63.35%
EncodeSansSemiExpanded-Medium.ttf,29.17,27.57,-5.48%,29.86,2.36%,47.60,63.18%
EncodeSansSemiExpanded-Regular.ttf,29.18,27.59,-5.47%,29.87,2.36%,47.58,63.05%
EncodeSansSemiExpanded-SemiBold.ttf,29.17,27.57,-5.48%,29.85,2.36%,47.60,63.19%
EncodeSansSemiExpanded-Thin.ttf,25.83,25.07,-2.94%,27.31,5.75%,39.94,54.64%
Engagement-Regular.ttf,6.55,5.70,-13.01%,6.62,1.07%,13.38,104.33%
Englebert-Regular.ttf,14.54,14.54,0.00%,14.18,-2.47%,19.10,31.36%
Enriqueta-Bold.ttf,12.97,11.72,-9.62%,11.80,-9.01%,18.17,40.14%
Enriqueta-Medium.ttf,13.09,11.85,-9.49%,12.01,-8.24%,18.37,40.34%
Enriqueta-Regular.ttf,12.59,11.34,-9.87%,11.66,-7.34%,16.57,31.66%
Enriqueta-SemiBold.ttf,12.83,11.58,-9.73%,11.70,-8.79%,17.71,38.09%
Epilogue-Italic[wght].ttf,36.56,36.42,-0.37%,35.74,-2.24%,36.20,-0.99%
Epilogue[wght].ttf,34.40,34.00,-1.18%,33.89,-1.48%,34.13,-0.81%
EricaOne-Regular.ttf,1.10,1.08,-1.07%,1.08,-1.07%,1.08,-1.07%
Esteban-Regular.ttf,6.58,6.57,-0.18%,6.57,-0.18%,6.57,-0.18%
Exo-Italic[wght].ttf,28.10,28.10,0.00%,25.84,-8.05%,25.48,-9.34%
Exo[wght].ttf,27.53,27.53,0.00%,25.27,-8.22%,24.90,-9.54%
Exo2-Italic[wght].ttf,87.42,75.32,-13.84%,47.13,-46.09%,54.44,-37.73%
Exo2[wght].ttf,96.27,83.97,-12.77%,56.46,-41.35%,66.33,-31.10%
ExpletusSans-Bold.ttf,0.10,0.10,0.00%,0.10,0.00%,0.10,0.00%
ExpletusSans-BoldItalic.ttf,0.10,0.10,0.00%,0.10,0.00%,0.10,0.00%
ExpletusSans-Italic.ttf,0.09,0.09,0.00%,0.09,0.00%,0.09,0.00%
ExpletusSans-Medium.ttf,0.08,0.08,0.00%,0.08,0.00%,0.08,0.00%
ExpletusSans-MediumItalic.ttf,13.73,13.72,-0.04%,10.87,-20.80%,16.04,16.89%
ExpletusSans-Regular.ttf,0.09,0.09,0.00%,0.09,0.00%,0.09,0.00%
ExpletusSans-SemiBold.ttf,0.08,0.08,0.00%,0.08,0.00%,0.08,0.00%
ExpletusSans-SemiBoldItalic.ttf,0.08,0.08,0.00%,0.08,0.00%,0.08,0.00%
Fahkwang-Bold.ttf,20.85,15.01,-28.01%,14.78,-29.13%,16.34,-21.61%
Fahkwang-BoldItalic.ttf,21.15,15.14,-28.42%,14.90,-29.52%,16.47,-22.11%
Fahkwang-ExtraLight.ttf,20.65,14.83,-28.17%,14.60,-29.29%,16.17,-21.71%
Fahkwang-ExtraLightItalic.ttf,20.86,14.96,-28.28%,14.73,-29.39%,16.29,-21.88%
Fahkwang-Italic.ttf,21.11,15.12,-28.36%,14.89,-29.47%,16.45,-22.04%
Fahkwang-Light.ttf,20.88,15.07,-27.85%,14.83,-28.97%,16.40,-21.46%
Fahkwang-LightItalic.ttf,21.01,15.11,-28.08%,14.88,-29.19%,16.44,-21.73%
Fahkwang-Medium.ttf,20.85,15.03,-27.95%,14.79,-29.06%,16.36,-21.55%
Fahkwang-MediumItalic.ttf,21.05,15.11,-28.19%,14.88,-29.30%,16.45,-21.85%
Fahkwang-Regular.ttf,20.89,15.07,-27.87%,14.84,-28.98%,16.41,-21.48%
Fahkwang-SemiBold.ttf,20.88,15.05,-27.94%,14.82,-29.05%,16.38,-21.55%
Fahkwang-SemiBoldItalic.ttf,21.15,15.13,-28.49%,14.89,-29.59%,16.46,-22.19%
FanwoodText-Italic.ttf,21.54,20.70,-3.91%,22.34,3.73%,47.38,119.98%
FanwoodText-Regular.ttf,23.58,22.45,-4.79%,24.11,2.27%,42.14,78.71%
Farro-Bold.ttf,8.84,8.32,-5.92%,8.33,-5.76%,9.34,5.59%
Farro-Light.ttf,9.29,8.66,-6.77%,8.63,-7.08%,9.65,3.85%
Farro-Medium.ttf,9.28,8.67,-6.59%,8.70,-6.31%,9.74,4.97%
Farro-Regular.ttf,9.27,8.66,-6.59%,8.69,-6.32%,9.73,4.97%
Farsan-Regular.ttf,15.46,15.37,-0.61%,15.60,0.87%,25.30,63.63%
Fascinate-Regular.ttf,6.26,5.25,-16.10%,5.52,-11.76%,8.64,37.97%
FascinateInline-Regular.ttf,6.26,5.25,-16.10%,5.52,-11.76%,8.64,37.97%
FasterOne-Regular.ttf,1.39,1.39,0.00%,1.39,0.00%,1.41,1.26%
Fasthand-Regular.ttf,0.03,0.03,6.67%,0.03,6.67%,0.03,6.67%
FaunaOne-Regular.ttf,1.67,1.11,-33.45%,1.11,-33.45%,1.11,-33.45%
Faustina-Italic[wght].ttf,19.16,19.16,0.00%,19.16,0.00%,19.08,-0.41%
Faustina[wght].ttf,20.01,20.01,0.00%,20.01,0.00%,20.74,3.65%
FaustinaVFBeta-Italic.ttf,51.45,51.44,-0.01%,51.44,-0.01%,51.36,-0.16%
FaustinaVFBeta.ttf,51.89,51.89,0.00%,51.89,0.00%,52.65,1.46%
Federant-Regular.ttf,4.72,4.58,-3.14%,4.58,-3.14%,5.03,6.45%
Federo-Regular.ttf,13.98,13.97,-0.04%,12.07,-13.61%,20.50,46.69%
Fenix-Regular.ttf,13.60,13.61,0.03%,12.58,-7.49%,20.48,50.57%
Festive-Regular.ttf,7.16,7.16,0.00%,7.16,0.00%,7.16,0.00%
FingerPaint-Regular.ttf,5.48,5.48,0.00%,5.48,0.00%,5.48,0.00%
FiraCode[wght].ttf,7.29,7.29,0.00%,7.29,0.00%,7.29,0.00%
FiraMono-Bold.ttf,6.66,5.70,-14.51%,5.70,-14.51%,5.70,-14.51%
FiraMono-Medium.ttf,6.66,5.72,-14.00%,5.72,-14.00%,5.72,-14.00%
FiraMono-Regular.ttf,6.66,5.67,-14.88%,5.67,-14.88%,5.67,-14.88%
FiraSans-Black.ttf,148.85,141.14,-5.18%,226.90,52.43%,292.28,96.36%
FiraSans-BlackItalic.ttf,151.73,143.91,-5.15%,231.86,52.82%,296.80,95.62%
FiraSans-Bold.ttf,149.53,141.61,-5.30%,227.76,52.32%,293.18,96.07%
FiraSans-BoldItalic.ttf,151.87,143.87,-5.27%,232.33,52.97%,297.29,95.75%
FiraSans-ExtraBold.ttf,149.28,141.39,-5.28%,227.54,52.43%,292.96,96.25%
FiraSans-ExtraBoldItalic.ttf,151.53,143.74,-5.14%,232.18,53.22%,297.14,96.09%
FiraSans-ExtraLight.ttf,149.48,141.37,-5.43%,227.49,52.19%,292.92,95.96%
FiraSans-ExtraLightItalic.ttf,151.87,143.66,-5.40%,232.10,52.83%,297.06,95.61%
FiraSans-Italic.ttf,151.69,143.63,-5.31%,231.98,52.94%,296.95,95.77%
FiraSans-Light.ttf,149.24,141.30,-5.32%,227.43,52.39%,292.85,96.22%
FiraSans-LightItalic.ttf,151.47,143.52,-5.25%,231.96,53.13%,296.92,96.02%
FiraSans-Medium.ttf,149.41,141.54,-5.27%,227.65,52.37%,293.07,96.15%
FiraSans-MediumItalic.ttf,151.64,143.74,-5.21%,232.16,53.10%,297.12,95.94%
FiraSans-Regular.ttf,149.25,141.21,-5.38%,227.33,52.31%,292.76,96.15%
FiraSans-SemiBold.ttf,149.50,141.59,-5.29%,227.74,52.33%,293.16,96.09%
FiraSans-SemiBoldItalic.ttf,151.68,143.77,-5.22%,232.22,53.10%,297.18,95.93%
FiraSans-Thin.ttf,144.56,136.50,-5.57%,202.04,39.77%,260.40,80.13%
FiraSans-ThinItalic.ttf,146.79,138.90,-5.37%,207.99,41.70%,263.42,79.46%
FiraSansCondensed-Black.ttf,149.75,141.73,-5.35%,227.58,51.97%,292.89,95.59%
FiraSansCondensed-BlackItalic.ttf,151.94,144.06,-5.19%,232.13,52.78%,297.39,95.73%
FiraSansCondensed-Bold.ttf,149.84,141.81,-5.36%,228.04,52.19%,293.31,95.76%
FiraSansCondensed-BoldItalic.ttf,151.50,143.64,-5.19%,232.21,53.28%,297.39,96.30%
FiraSansCondensed-ExtraBold.ttf,149.88,141.96,-5.28%,228.15,52.22%,293.41,95.77%
FiraSansCondensed-ExtraBoldItalic.ttf,151.78,143.92,-5.18%,232.43,53.14%,297.61,96.08%
FiraSansCondensed-ExtraLight.ttf,149.63,141.40,-5.50%,227.52,52.06%,292.88,95.74%
FiraSansCondensed-ExtraLightItalic.ttf,151.46,143.44,-5.30%,231.90,53.11%,296.77,95.94%
FiraSansCondensed-Italic.ttf,151.47,143.55,-5.23%,232.09,53.22%,297.35,96.30%
FiraSansCondensed-Light.ttf,149.84,141.66,-5.46%,227.80,52.03%,293.23,95.70%
FiraSansCondensed-LightItalic.ttf,151.65,143.48,-5.39%,231.96,52.96%,296.91,95.79%
FiraSansCondensed-Medium.ttf,149.79,141.51,-5.53%,227.74,52.04%,293.07,95.65%
FiraSansCondensed-MediumItalic.ttf,151.85,143.81,-5.29%,232.37,53.03%,297.62,95.99%
FiraSansCondensed-Regular.ttf,149.84,141.66,-5.46%,227.87,52.08%,293.20,95.68%
FiraSansCondensed-SemiBold.ttf,149.85,141.63,-5.49%,227.86,52.06%,293.21,95.67%
FiraSansCondensed-SemiBoldItalic.ttf,151.81,143.76,-5.30%,232.32,53.03%,297.56,96.01%
FiraSansCondensed-Thin.ttf,144.52,136.49,-5.55%,201.65,39.53%,260.41,80.19%
FiraSansCondensed-ThinItalic.ttf,146.54,138.58,-5.43%,207.79,41.80%,263.21,79.62%
FiraSansExtraCondensed-Black.ttf,149.77,141.61,-5.45%,225.33,50.46%,288.60,92.70%
FiraSansExtraCondensed-BlackItalic.ttf,151.77,143.89,-5.19%,229.33,51.10%,292.85,92.95%
FiraSansExtraCondensed-Bold.ttf,149.82,141.70,-5.42%,227.67,51.97%,293.19,95.70%
FiraSansExtraCondensed-BoldItalic.ttf,151.85,143.76,-5.33%,232.20,52.91%,297.37,95.83%
FiraSansExtraCondensed-ExtraBold.ttf,149.48,141.48,-5.35%,226.95,51.82%,292.37,95.59%
FiraSansExtraCondensed-ExtraBoldItalic.ttf,151.99,143.93,-5.30%,231.94,52.60%,296.90,95.34%
FiraSansExtraCondensed-ExtraLight.ttf,149.56,141.27,-5.54%,227.22,51.93%,292.74,95.74%
FiraSansExtraCondensed-ExtraLightItalic.ttf,151.36,143.27,-5.35%,231.69,53.07%,296.87,96.13%
FiraSansExtraCondensed-Italic.ttf,151.61,143.55,-5.32%,231.89,52.95%,296.99,95.89%
FiraSansExtraCondensed-Light.ttf,149.29,141.04,-5.52%,227.00,52.05%,292.52,95.94%
FiraSansExtraCondensed-LightItalic.ttf,151.28,143.23,-5.32%,231.66,53.13%,296.84,96.22%
FiraSansExtraCondensed-Medium.ttf,149.80,141.61,-5.47%,227.54,51.89%,293.07,95.64%
FiraSansExtraCondensed-MediumItalic.ttf,151.79,143.76,-5.29%,232.16,52.94%,297.34,95.88%
FiraSansExtraCondensed-Regular.ttf,149.53,141.32,-5.49%,227.18,51.93%,292.63,95.70%
FiraSansExtraCondensed-SemiBold.ttf,149.61,141.48,-5.43%,227.45,52.02%,292.96,95.82%
FiraSansExtraCondensed-SemiBoldItalic.ttf,151.65,143.67,-5.26%,232.12,53.06%,297.29,96.03%
FiraSansExtraCondensed-Thin.ttf,144.99,136.57,-5.80%,201.99,39.31%,260.49,79.67%
FiraSansExtraCondensed-ThinItalic.ttf,146.84,138.66,-5.57%,208.04,41.68%,263.12,79.18%
FjordOne-Regular.ttf,0.09,0.09,0.00%,0.09,0.00%,0.09,0.00%
Flamenco-Light.ttf,6.36,6.35,-0.18%,6.35,-0.18%,6.35,-0.18%
Flamenco-Regular.ttf,5.75,5.73,-0.20%,5.73,-0.20%,5.73,-0.20%
Fondamento-Italic.ttf,33.28,21.94,-34.06%,24.38,-26.75%,34.12,2.52%
Fondamento-Regular.ttf,42.04,41.43,-1.46%,43.64,3.81%,52.07,23.85%
Forum-Regular.ttf,35.86,32.68,-8.86%,32.68,-8.86%,32.68,-8.86%
FrancoisOne-Regular.ttf,12.99,11.71,-9.92%,11.71,-9.92%,11.71,-9.92%
FrankRuhlLibre-Black.ttf,12.29,12.28,-0.05%,11.88,-3.32%,11.77,-4.21%
FrankRuhlLibre-Bold.ttf,12.51,12.50,-0.05%,12.10,-3.26%,12.03,-3.80%
FrankRuhlLibre-Light.ttf,10.99,10.99,-0.05%,10.58,-3.71%,11.02,0.28%
FrankRuhlLibre-Medium.ttf,12.07,12.07,-0.05%,11.66,-3.38%,11.73,-2.82%
FrankRuhlLibre-Regular.ttf,12.35,12.34,-0.05%,11.94,-3.31%,11.97,-3.10%
"Fraunces-Italic[SOFT,WONK,opsz,wght].ttf",31.54,16.59,-47.39%,15.01,-52.40%,23.67,-24.95%
"Fraunces[SOFT,WONK,opsz,wght].ttf",8.21,4.54,-44.72%,4.30,-47.67%,4.26,-48.10%
FreckleFace-Regular.ttf,17.23,16.80,-2.48%,17.11,-0.73%,21.91,27.13%
FredokaOne-Regular.ttf,6.82,6.81,-0.09%,6.69,-1.98%,8.05,17.98%
Freehand.ttf,0.05,0.04,-20.83%,0.04,-20.83%,0.04,-20.83%
Fruktur-Regular.ttf,0.50,0.50,0.00%,0.50,0.00%,0.50,0.00%
FugazOne-Regular.ttf,4.48,4.47,-0.26%,4.47,-0.26%,4.47,-0.26%
Fuggles-Regular.ttf,8.06,8.06,0.00%,8.06,0.00%,8.06,0.00%
Gabriela-Regular.ttf,3.18,2.96,-6.64%,2.96,-6.64%,3.09,-2.64%
Gaegu-Bold.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
Gaegu-Light.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
Gafata-Regular.ttf,12.72,12.73,0.03%,10.22,-19.71%,15.69,23.27%
Galada-Regular.ttf,8.92,8.92,0.00%,8.92,0.00%,8.92,0.00%
Galdeano-Regular.ttf,0.44,0.42,-2.69%,0.42,-2.69%,0.42,-2.69%
Galindo-Regular.ttf,14.79,14.79,0.00%,14.69,-0.67%,20.68,39.88%
GamjaFlower-Regular.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
Gayathri-Bold.ttf,2.71,2.71,0.00%,2.71,0.00%,2.78,2.81%
Gayathri-Regular.ttf,2.71,2.71,0.00%,2.71,0.00%,2.78,2.81%
Gayathri-Thin.ttf,2.71,2.71,0.00%,2.71,0.00%,2.78,2.81%
Gelasio-Bold.ttf,8.98,7.89,-12.17%,7.89,-12.17%,7.89,-12.17%
Gelasio-BoldItalic.ttf,8.07,6.62,-17.93%,6.62,-17.93%,6.62,-17.93%
Gelasio-Italic.ttf,7.94,6.44,-18.83%,6.44,-18.83%,6.44,-18.83%
Gelasio-Medium.ttf,9.04,7.96,-11.97%,7.96,-11.97%,7.96,-11.97%
Gelasio-MediumItalic.ttf,8.16,6.66,-18.39%,6.66,-18.39%,6.66,-18.39%
Gelasio-Regular.ttf,8.67,7.67,-11.47%,7.67,-11.47%,7.67,-11.47%
Gelasio-SemiBold.ttf,9.05,7.97,-11.96%,7.97,-11.96%,7.97,-11.96%
Gelasio-SemiBoldItalic.ttf,8.12,6.64,-18.19%,6.64,-18.19%,6.64,-18.19%
GemunuLibre-Bold.ttf,3.69,3.63,-1.69%,3.63,-1.69%,3.75,1.59%
GemunuLibre-ExtraBold.ttf,3.01,2.95,-2.01%,2.95,-2.01%,3.04,0.97%
GemunuLibre-ExtraLight.ttf,3.47,3.42,-1.57%,3.42,-1.57%,3.54,1.91%
GemunuLibre-Light.ttf,3.59,3.54,-1.52%,3.54,-1.52%,3.66,1.85%
GemunuLibre-Medium.ttf,3.83,3.76,-1.68%,3.76,-1.68%,3.88,1.48%
GemunuLibre-Regular.ttf,3.76,3.70,-1.61%,3.70,-1.61%,3.82,1.61%
GemunuLibre-SemiBold.ttf,3.82,3.76,-1.69%,3.76,-1.69%,3.88,1.48%
GenBasB.ttf,12.77,11.53,-9.76%,11.53,-9.76%,11.53,-9.76%
GenBasBI.ttf,12.97,11.60,-10.51%,11.60,-10.51%,11.60,-10.51%
GenBasI.ttf,12.12,10.77,-11.15%,10.77,-11.15%,10.77,-11.15%
GenBasR.ttf,11.41,10.19,-10.72%,10.19,-10.72%,10.19,-10.72%
GenBkBasB.ttf,12.87,11.59,-9.91%,11.59,-9.91%,11.59,-9.91%
GenBkBasBI.ttf,12.97,11.61,-10.51%,11.61,-10.51%,11.61,-10.51%
GenBkBasI.ttf,12.97,11.66,-10.15%,11.66,-10.15%,11.66,-10.15%
GenBkBasR.ttf,12.76,11.49,-9.95%,11.49,-9.95%,11.49,-9.95%
"Georama-Italic[wdth,wght].ttf",128.97,103.50,-19.75%,69.40,-46.19%,77.89,-39.61%
"Georama[wdth,wght].ttf",135.67,100.62,-25.84%,67.09,-50.55%,72.90,-46.27%
GermaniaOne-Regular.ttf,0.14,0.14,0.00%,0.14,0.00%,0.14,0.00%
GFSDidot-Regular.ttf,8.25,8.25,0.00%,8.25,0.00%,8.25,0.00%
GFSNeohellenic.ttf,0.11,0.10,-10.34%,0.10,-10.34%,0.10,-10.34%
GFSNeohellenicBold.ttf,0.05,0.04,-20.83%,0.04,-20.83%,0.04,-20.83%
GFSNeohellenicBoldItalic.ttf,0.15,0.15,0.00%,0.15,0.00%,0.15,0.00%
GFSNeohellenicItalic.ttf,1.05,1.05,0.00%,1.05,0.00%,1.05,0.00%
GildaDisplay-Regular.ttf,2.65,2.09,-21.19%,2.09,-21.19%,2.73,2.87%
Girassol-Regular.ttf,0.97,0.97,0.00%,0.97,0.00%,0.93,-4.62%
GlassAntiqua-Regular.ttf,8.91,8.90,-0.13%,8.90,-0.13%,8.90,-0.13%
Glegoo-Bold.ttf,2.60,1.87,-28.05%,1.87,-28.05%,1.87,-28.05%
Glegoo-Regular.ttf,2.97,2.21,-25.67%,2.21,-25.67%,2.21,-25.67%
GochiHand-Regular.ttf,0.03,0.03,6.67%,0.03,6.67%,0.03,6.67%
Goldman-Bold.ttf,11.99,11.99,0.00%,11.39,-5.02%,12.16,1.38%
Goldman-Regular.ttf,11.88,11.88,0.00%,11.35,-4.50%,12.03,1.22%
Gorditas-Bold.ttf,16.01,16.01,-0.04%,16.15,0.88%,18.05,12.72%
Gorditas-Regular.ttf,15.16,15.16,-0.04%,15.13,-0.26%,16.91,11.54%
GothicA1-Black.ttf,1.48,1.48,0.00%,1.48,0.00%,1.48,0.00%
GothicA1-Bold.ttf,1.49,1.49,0.00%,1.49,0.00%,1.49,0.00%
