File,Original GPOS Size,mode=one,Change one,mode=auto,Change auto,mode=max,Change max
AlegreyaSC-ExtraBoldItalic.ttf,36.42,31.46,-13.64%,32.22,-11.54%,42.91,17.81%
AlegreyaSC-Italic.ttf,36.21,31.23,-13.75%,32.07,-11.43%,40.52,11.91%
AlegreyaSC-Medium.ttf,38.57,33.70,-12.63%,34.55,-10.42%,44.56,15.53%
AlegreyaSC-MediumItalic.ttf,36.39,31.57,-13.24%,32.34,-11.13%,43.03,18.25%
AlegreyaSC-Regular.ttf,37.01,32.21,-12.95%,33.29,-10.04%,40.95,10.66%
Aleo-Bold.ttf,2.69,2.59,-3.70%,2.59,-3.70%,2.59,-3.70%
Aleo-BoldItalic.ttf,3.04,2.94,-3.09%,2.94,-3.09%,2.94,-3.09%
Aleo-Italic.ttf,23.77,13.80,-41.93%,13.80,-41.93%,13.80,-41.94%
Aleo-Light.ttf,3.61,3.52,-2.44%,3.52,-2.44%,3.52,-2.44%
Aleo-LightItalic.ttf,3.97,3.82,-3.83%,3.82,-3.83%,3.82,-3.83%
Aleo-Regular.ttf,21.96,11.67,-46.88%,11.67,-46.88%,11.70,-46.75%
AlexBrush-Regular.ttf,5.25,5.25,0.00%,5.25,0.00%,5.25,0.00%
AlfaSlabOne-Regular.ttf,11.46,11.13,-2.86%,10.45,-8.80%,11.54,0.75%
Alice-Regular.ttf,27.72,23.80,-14.15%,27.71,-0.02%,48.04,73.28%
Alike-Regular.ttf,12.52,12.52,0.06%,10.91,-12.84%,16.51,31.93%
AlikeAngular-Regular.ttf,12.47,12.48,0.06%,10.77,-13.66%,16.46,32.05%
Allan-Bold.ttf,15.38,14.59,-5.08%,13.31,-13.44%,19.73,28.34%
Allan-Regular.ttf,7.13,7.13,0.00%,7.13,0.00%,7.13,0.00%
Allerta-Regular.ttf,0.47,0.47,0.00%,0.47,0.00%,0.47,0.00%
AllertaStencil-Regular.ttf,0.47,0.47,0.00%,0.47,0.00%,0.47,0.00%
Allura-Regular.ttf,0.22,0.21,-5.26%,0.21,-5.26%,0.21,-5.26%
Almarai-Bold.ttf,11.85,11.17,-5.77%,11.17,-5.77%,11.28,-4.85%
Almarai-ExtraBold.ttf,12.10,11.39,-5.84%,11.39,-5.84%,11.78,-2.62%
Almarai-Light.ttf,11.33,10.63,-6.15%,10.63,-6.15%,11.04,-2.55%
Almarai-Regular.ttf,11.85,11.10,-6.36%,11.10,-6.36%,11.50,-2.97%
Almendra-Bold.ttf,0.18,0.18,0.00%,0.18,0.00%,0.18,0.00%
Almendra-BoldItalic.ttf,0.32,0.32,0.00%,0.32,0.00%,0.32,0.00%
Almendra-Italic.ttf,0.19,0.19,0.00%,0.19,0.00%,0.19,0.00%
Almendra-Regular.ttf,0.20,0.20,0.00%,0.20,0.00%,0.20,0.00%
Amaranth-Bold.ttf,20.85,15.64,-24.96%,15.83,-24.04%,18.39,-11.76%
Amaranth-BoldItalic.ttf,24.66,18.50,-24.97%,18.79,-23.82%,22.27,-9.70%
Amaranth-Italic.ttf,24.63,18.47,-25.00%,18.77,-23.79%,22.27,-9.59%
Amaranth-Regular.ttf,20.85,15.64,-24.96%,15.83,-24.04%,18.39,-11.76%
AmaticaSC-Bold.ttf,1.84,1.73,-5.64%,1.73,-5.64%,1.73,-5.64%
AmaticaSC-Regular.ttf,1.71,1.65,-3.42%,1.65,-3.42%,1.65,-3.42%
AmaticSC-Bold.ttf,17.87,14.75,-17.47%,14.75,-17.47%,14.75,-17.47%
AmaticSC-Regular.ttf,16.46,13.84,-15.93%,13.84,-15.93%,13.84,-15.93%
Amiko-Bold.ttf,11.07,10.13,-8.52%,10.05,-9.24%,10.79,-2.57%
Amiko-Regular.ttf,11.05,10.11,-8.48%,10.03,-9.21%,10.77,-2.53%
Amiko-SemiBold.ttf,11.12,10.17,-8.54%,10.09,-9.26%,10.83,-2.62%
Amiri-Bold.ttf,61.86,61.86,0.00%,65.67,6.16%,91.24,47.50%
Amiri-BoldItalic.ttf,59.73,59.73,0.00%,62.38,4.43%,84.48,41.43%
Amiri-Italic.ttf,62.75,62.75,0.00%,65.88,4.99%,83.99,33.85%
Amiri-Regular.ttf,61.40,61.40,0.00%,64.60,5.20%,86.89,41.51%
Amita-Bold.ttf,21.63,21.61,-0.08%,19.46,-9.99%,28.48,31.68%
Amita-Regular.ttf,21.59,21.57,-0.08%,19.43,-10.01%,28.44,31.74%
Anaheim-Regular.ttf,8.93,8.56,-4.20%,8.56,-4.20%,8.56,-4.20%
Andada-Regular.ttf,1.67,1.38,-17.17%,1.38,-17.17%,1.45,-13.55%
AndadaPro-Italic[wght].ttf,29.38,29.38,0.00%,28.88,-1.73%,27.97,-4.83%
AndadaPro[wght].ttf,33.33,33.33,0.00%,29.34,-11.98%,27.38,-17.85%
AndadaSC-Bold.ttf,4.14,4.01,-3.02%,4.01,-3.02%,6.86,65.79%
AndadaSC-BoldItalic.ttf,4.06,3.94,-2.89%,3.94,-2.89%,6.79,67.24%
AndadaSC-Italic.ttf,3.93,3.78,-3.97%,3.78,-3.97%,6.29,59.93%
AndadaSC-Regular.ttf,3.57,3.42,-4.05%,3.42,-4.05%,5.94,66.39%
Andika-Regular.ttf,58.32,54.26,-6.96%,54.26,-6.96%,54.26,-6.96%
AndikaNewBasic-Bold.ttf,13.49,13.49,0.00%,13.49,0.00%,13.49,0.00%
AndikaNewBasic-BoldItalic.ttf,13.70,13.70,0.00%,13.70,0.00%,13.70,0.00%
AndikaNewBasic-Italic.ttf,12.94,12.94,0.00%,12.94,0.00%,12.94,0.00%
AndikaNewBasic-Regular.ttf,12.32,12.32,0.00%,12.32,0.00%,12.32,0.00%
Angkor-Regular.ttf,0.05,0.04,-20.83%,0.04,-20.83%,0.04,-20.83%
Antic-Regular.ttf,17.17,17.13,-0.25%,17.31,0.83%,23.44,36.51%
AnticDidone-Regular.ttf,13.11,9.20,-29.82%,9.39,-28.40%,15.77,20.26%
AnticSlab-Regular.ttf,13.20,9.24,-29.94%,9.43,-28.54%,15.71,19.08%
Anton-Regular.ttf,21.07,21.07,0.00%,21.07,0.00%,20.66,-1.95%
Antonio[wght].ttf,10.43,10.42,-0.06%,9.81,-5.90%,10.14,-2.81%
Arapey-Italic.ttf,1.34,1.35,0.44%,1.35,0.44%,1.66,23.76%
Arapey-Regular.ttf,1.26,1.24,-1.86%,1.24,-1.86%,1.43,13.62%
"Archivo-Italic[wdth,wght].ttf",28.52,28.30,-0.76%,26.04,-8.69%,25.77,-9.66%
"Archivo[wdth,wght].ttf",25.54,25.32,-0.85%,23.09,-9.57%,22.89,-10.36%
ArchivoBlack-Regular.ttf,2.27,2.21,-2.67%,2.21,-2.67%,2.21,-2.67%
ArchivoNarrow-Italic[wght].ttf,15.50,15.50,0.00%,15.00,-3.20%,14.49,-6.50%
ArchivoNarrow[wght].ttf,13.88,13.88,0.00%,13.10,-5.61%,12.35,-11.05%
ArchivoVFBeta-Italic.ttf,33.58,33.58,0.00%,33.58,0.00%,33.58,0.00%
ArchivoVFBeta.ttf,28.86,28.86,0.00%,28.86,0.00%,28.86,0.00%
ArefRuqaa-Bold.ttf,15.86,15.86,0.00%,15.86,0.00%,15.86,0.04%
ArefRuqaa-Regular.ttf,15.90,15.90,0.00%,15.90,0.00%,15.91,0.04%
ArimaMadurai-Black.ttf,10.10,9.03,-10.61%,9.03,-10.61%,9.59,-5.07%
ArimaMadurai-Bold.ttf,10.10,9.04,-10.48%,9.04,-10.48%,9.62,-4.76%
ArimaMadurai-ExtraBold.ttf,10.16,9.09,-10.59%,9.09,-10.59%,9.67,-4.90%
ArimaMadurai-ExtraLight.ttf,10.03,9.00,-10.26%,9.00,-10.26%,9.52,-5.10%
ArimaMadurai-Light.ttf,10.22,9.17,-10.25%,9.17,-10.25%,9.75,-4.59%
ArimaMadurai-Medium.ttf,10.10,9.08,-10.08%,9.08,-10.08%,9.66,-4.35%
ArimaMadurai-Regular.ttf,10.13,9.08,-10.34%,9.08,-10.34%,9.66,-4.63%
ArimaMadurai-Thin.ttf,9.64,8.74,-9.36%,8.74,-9.36%,9.09,-5.71%
Arsenal-Bold.ttf,29.40,15.12,-48.57%,15.12,-48.57%,15.12,-48.57%
Arsenal-BoldItalic.ttf,22.32,13.18,-40.95%,13.18,-40.95%,13.18,-40.95%
Arsenal-Italic.ttf,22.29,13.16,-40.95%,13.16,-40.95%,13.16,-40.95%
Arsenal-Regular.ttf,29.44,15.17,-48.47%,15.17,-48.47%,15.17,-48.47%
Artifika-Regular.ttf,14.65,11.29,-22.96%,11.42,-22.04%,13.27,-9.44%
Arya-Bold.ttf,6.65,6.65,0.00%,6.65,0.00%,6.93,4.20%
Arya-Regular.ttf,6.67,6.67,0.00%,6.67,0.00%,6.95,4.19%
Asap-Italic[wght].ttf,15.97,15.97,0.00%,15.74,-1.43%,14.96,-6.35%
Asap[wght].ttf,14.32,14.32,0.00%,14.37,0.29%,14.93,4.21%
AsapCondensed-Bold.ttf,13.55,11.90,-12.18%,11.81,-12.87%,12.72,-6.13%
AsapCondensed-BoldItalic.ttf,12.19,10.92,-10.41%,10.83,-11.18%,11.71,-3.93%
AsapCondensed-Italic.ttf,12.18,10.97,-9.94%,10.88,-10.71%,11.74,-3.64%
AsapCondensed-Medium.ttf,13.44,11.88,-11.67%,11.78,-12.36%,12.67,-5.74%
AsapCondensed-MediumItalic.ttf,12.36,11.11,-10.08%,11.02,-10.84%,11.88,-3.87%
AsapCondensed-Regular.ttf,13.36,11.77,-11.91%,11.68,-12.62%,12.57,-5.95%
AsapCondensed-SemiBold.ttf,13.54,11.93,-11.85%,11.84,-12.54%,12.73,-5.96%
AsapCondensed-SemiBoldItalic.ttf,12.25,11.03,-10.03%,10.93,-10.79%,11.79,-3.76%
AsapVFBeta-Condensed.ttf,28.40,28.36,-0.14%,28.18,-0.78%,27.05,-4.75%
AsapVFBeta-Italic.ttf,20.30,20.30,0.00%,20.30,0.00%,20.30,0.00%
AsapVFBeta.ttf,18.87,18.87,0.00%,18.87,0.00%,18.87,0.00%
Asar-Regular.ttf,13.92,13.92,0.00%,13.92,0.00%,13.92,0.00%
Assistant[wght].ttf,23.30,23.30,0.00%,22.38,-3.97%,23.86,2.39%
Astloch-Bold.ttf,15.51,15.53,0.08%,12.37,-20.24%,17.10,10.21%
Astloch-Regular.ttf,14.57,14.59,0.08%,11.05,-24.19%,14.46,-0.79%
Asul-Bold.ttf,2.25,2.24,-0.52%,2.24,-0.52%,2.24,-0.52%
Asul-Regular.ttf,2.39,2.38,-0.49%,2.38,-0.49%,2.38,-0.49%
Athiti-Bold.ttf,5.41,5.17,-4.37%,5.02,-7.08%,5.21,-3.72%
Athiti-ExtraLight.ttf,5.04,4.90,-2.75%,4.65,-7.64%,5.13,1.71%
Athiti-Light.ttf,4.26,4.10,-3.62%,4.10,-3.62%,4.27,0.28%
Athiti-Medium.ttf,4.54,4.40,-3.06%,4.40,-3.06%,4.50,-0.82%
Athiti-Regular.ttf,4.95,4.86,-1.86%,4.58,-7.46%,4.95,0.08%
Athiti-SemiBold.ttf,4.56,4.37,-4.20%,4.37,-4.20%,4.49,-1.50%
AtkinsonHyperlegible-Bold.ttf,8.69,8.69,0.00%,8.69,0.00%,10.53,21.21%
AtkinsonHyperlegible-BoldItalic.ttf,8.56,8.56,0.00%,8.56,0.00%,10.36,21.02%
AtkinsonHyperlegible-Italic.ttf,8.17,8.17,0.00%,8.17,0.00%,9.50,16.26%
AtkinsonHyperlegible-Regular.ttf,8.20,8.20,0.00%,8.20,0.00%,9.58,16.85%
Atma-Bold.ttf,21.00,21.00,0.00%,23.81,13.42%,49.20,134.32%
Atma-Light.ttf,20.06,20.06,0.00%,22.21,10.76%,39.58,97.32%
Atma-Medium.ttf,22.34,22.34,0.00%,24.23,8.46%,51.59,130.98%
Atma-Regular.ttf,22.27,22.27,0.00%,23.77,6.74%,51.64,131.92%
Atma-SemiBold.ttf,22.37,22.37,0.00%,24.59,9.93%,51.70,131.10%
AtomicAge-Regular.ttf,0.16,0.16,0.00%,0.16,0.00%,0.16,0.00%
Aubrey-Regular.ttf,18.38,14.64,-20.33%,14.55,-20.84%,16.37,-10.92%
Audiowide-Regular.ttf,24.38,16.14,-33.81%,15.37,-36.96%,19.27,-20.99%
Average-Regular.ttf,2.88,2.28,-20.99%,2.28,-20.99%,2.60,-9.82%
AverageSans-Regular.ttf,2.61,2.43,-6.97%,2.43,-6.97%,3.27,25.54%
B612-Bold.ttf,3.68,2.98,-18.81%,2.98,-18.81%,3.05,-16.90%
B612-BoldItalic.ttf,5.07,3.73,-26.35%,3.73,-26.35%,3.90,-23.04%
B612-Italic.ttf,4.16,3.43,-17.56%,3.43,-17.56%,3.49,-16.20%
B612-Regular.ttf,3.64,2.86,-21.50%,2.86,-21.50%,2.94,-19.41%
BadScript-Regular.ttf,14.73,13.14,-10.80%,13.14,-10.80%,13.95,-5.33%
Bahiana-Regular.ttf,1.13,1.04,-8.26%,1.04,-8.26%,1.04,-8.26%
Bahianita-Regular.ttf,18.28,16.91,-7.48%,16.59,-9.22%,19.47,6.53%
BaiJamjuree-Bold.ttf,15.51,14.54,-6.28%,13.87,-10.59%,16.94,9.20%
BaiJamjuree-BoldItalic.ttf,15.66,14.61,-6.71%,13.95,-10.97%,17.02,8.63%
BaiJamjuree-ExtraLight.ttf,14.78,13.84,-6.32%,13.17,-10.84%,16.24,9.94%
BaiJamjuree-ExtraLightItalic.ttf,14.93,13.95,-6.53%,13.28,-11.00%,16.35,9.57%
BaiJamjuree-Italic.ttf,15.32,14.33,-6.48%,13.66,-10.84%,16.73,9.21%
BaiJamjuree-Light.ttf,15.33,14.35,-6.40%,13.68,-10.76%,16.75,9.28%
BaiJamjuree-LightItalic.ttf,15.32,14.34,-6.44%,13.67,-10.80%,16.74,9.24%
BaiJamjuree-Medium.ttf,15.45,14.47,-6.35%,13.80,-10.67%,16.87,9.20%
BaiJamjuree-MediumItalic.ttf,15.70,14.68,-6.51%,14.01,-10.76%,17.08,8.80%
BaiJamjuree-Regular.ttf,15.17,14.23,-6.23%,13.56,-10.63%,16.63,9.60%
BaiJamjuree-SemiBold.ttf,15.54,14.54,-6.46%,13.87,-10.76%,16.94,9.00%
BaiJamjuree-SemiBoldItalic.ttf,15.64,14.61,-6.61%,13.94,-10.88%,17.01,8.75%
Ballet[opsz].ttf,3.92,3.92,0.00%,3.92,0.00%,3.92,0.00%
Baloo2-Bold.ttf,100.22,100.05,-0.16%,103.90,3.68%,156.35,56.01%
Baloo2-ExtraBold.ttf,96.26,96.10,-0.17%,101.62,5.56%,147.04,52.75%
Baloo2-Medium.ttf,100.39,100.23,-0.16%,104.78,4.37%,157.17,56.56%
Baloo2-Regular.ttf,99.97,99.81,-0.16%,104.83,4.86%,156.76,56.81%
Baloo2-SemiBold.ttf,99.92,99.76,-0.16%,104.31,4.39%,156.30,56.42%
BalooBhai2-Bold.ttf,62.34,62.34,0.00%,64.40,3.30%,101.30,62.51%
BalooBhai2-ExtraBold.ttf,47.40,47.40,0.00%,49.58,4.61%,78.31,65.20%
BalooBhai2-Medium.ttf,62.25,62.25,0.00%,64.66,3.87%,101.86,63.64%
BalooBhai2-Regular.ttf,62.08,62.08,0.00%,64.31,3.60%,101.62,63.69%
BalooBhai2-SemiBold.ttf,61.99,61.99,0.00%,64.27,3.67%,101.59,63.88%
BalooBhaina2-Bold.ttf,73.57,73.38,-0.27%,88.19,19.87%,133.76,81.80%
BalooBhaina2-ExtraBold.ttf,75.81,75.81,0.00%,80.52,6.21%,115.98,52.99%
BalooBhaina2-Medium.ttf,82.00,82.00,0.00%,87.69,6.94%,127.90,55.98%
BalooBhaina2-Regular.ttf,60.99,60.77,-0.36%,74.74,22.56%,111.43,82.71%
BalooBhaina2-SemiBold.ttf,81.98,81.98,0.00%,87.67,6.94%,127.86,55.97%
BalooChettan2-Bold.ttf,52.04,52.04,0.00%,55.39,6.42%,95.17,82.86%
BalooChettan2-ExtraBold.ttf,47.77,47.77,0.00%,50.83,6.42%,83.76,75.33%
BalooChettan2-Medium.ttf,52.04,52.04,0.00%,56.69,8.93%,95.78,84.03%
BalooChettan2-Regular.ttf,48.68,48.68,0.00%,53.03,8.94%,89.38,83.63%
BalooChettan2-SemiBold.ttf,51.67,51.67,0.00%,56.30,8.96%,95.37,84.58%
BalooDa2-Bold.ttf,64.96,64.84,-0.20%,65.98,1.57%,100.24,54.30%
BalooDa2-ExtraBold.ttf,62.67,62.54,-0.21%,63.96,2.06%,93.71,49.54%
BalooDa2-Medium.ttf,64.96,64.84,-0.20%,66.35,2.13%,100.89,55.29%
BalooDa2-Regular.ttf,64.71,64.59,-0.20%,66.10,2.14%,100.61,55.47%
BalooDa2-SemiBold.ttf,64.68,64.55,-0.20%,66.07,2.15%,100.59,55.52%
BalooPaaji2-Bold.ttf,48.05,48.05,0.00%,51.54,7.24%,89.83,86.93%
BalooPaaji2-ExtraBold.ttf,48.96,48.96,0.00%,53.13,8.51%,86.64,76.95%
BalooPaaji2-Medium.ttf,52.85,52.85,0.00%,55.25,4.54%,96.20,82.03%
BalooPaaji2-Regular.ttf,47.92,47.92,0.00%,51.73,7.97%,90.31,88.48%
BalooPaaji2-SemiBold.ttf,52.48,52.48,0.00%,53.96,2.82%,95.72,82.39%
BalooTamma2-Bold.ttf,61.03,61.02,-0.01%,63.84,4.61%,114.24,87.19%
BalooTamma2-ExtraBold.ttf,56.02,56.01,-0.01%,60.10,7.28%,99.22,77.12%
BalooTamma2-Medium.ttf,61.15,61.14,-0.01%,65.94,7.84%,115.22,88.42%
BalooTamma2-Regular.ttf,58.07,58.06,-0.01%,60.90,4.87%,104.86,80.57%
BalooTamma2-SemiBold.ttf,60.82,60.81,-0.01%,65.05,6.96%,114.97,89.05%
BalooTammudu2-Bold.ttf,94.97,94.90,-0.08%,103.82,9.31%,166.75,75.57%
BalooTammudu2-ExtraBold.ttf,84.83,84.75,-0.09%,93.85,10.64%,143.72,69.43%
BalooTammudu2-Medium.ttf,94.85,94.78,-0.08%,103.20,8.80%,167.27,76.35%
BalooTammudu2-Regular.ttf,82.44,82.43,-0.02%,90.04,9.22%,144.35,75.10%
BalooTammudu2-SemiBold.ttf,94.78,94.71,-0.08%,102.98,8.65%,167.03,76.23%
BalooThambi2-Bold.ttf,50.82,50.82,0.00%,56.28,10.75%,99.84,96.46%
BalooThambi2-ExtraBold.ttf,49.16,49.16,0.00%,54.57,10.99%,94.03,91.26%
BalooThambi2-Medium.ttf,51.18,51.18,0.00%,55.89,9.20%,100.99,97.31%
BalooThambi2-Regular.ttf,50.91,50.91,0.00%,55.35,8.71%,100.23,96.88%
BalooThambi2-SemiBold.ttf,50.68,50.68,0.00%,55.39,9.29%,100.60,98.49%
BalsamiqSans-Bold.ttf,15.62,14.75,-5.53%,13.60,-12.93%,14.60,-6.50%
BalsamiqSans-BoldItalic.ttf,12.69,11.87,-6.46%,10.97,-13.54%,12.82,1.02%
BalsamiqSans-Italic.ttf,15.38,14.64,-4.83%,12.76,-17.07%,14.79,-3.87%
BalsamiqSans-Regular.ttf,15.74,15.01,-4.62%,13.24,-15.86%,15.58,-1.02%
Balthazar-Regular.ttf,0.47,0.46,-2.50%,0.46,-2.50%,0.46,-2.50%
Bangers-Regular.ttf,15.84,14.56,-8.09%,14.56,-8.09%,14.56,-8.09%
Barlow-Black.ttf,14.28,12.99,-9.03%,13.18,-7.74%,15.63,9.39%
Barlow-BlackItalic.ttf,14.32,13.05,-8.92%,13.25,-7.51%,15.89,10.92%
Barlow-Bold.ttf,15.39,14.03,-8.83%,14.28,-7.17%,17.73,15.22%
Barlow-BoldItalic.ttf,15.46,14.09,-8.87%,14.36,-7.10%,18.07,16.93%
Barlow-ExtraBold.ttf,15.32,13.95,-8.91%,14.21,-7.24%,17.58,14.74%
Barlow-ExtraBoldItalic.ttf,15.39,14.01,-8.98%,14.29,-7.21%,17.92,16.42%
Barlow-ExtraLight.ttf,15.21,13.89,-8.67%,14.15,-6.98%,17.48,14.91%
Barlow-ExtraLightItalic.ttf,15.32,13.97,-8.80%,14.24,-7.01%,17.84,16.49%
Barlow-Italic.ttf,15.44,14.07,-8.88%,14.34,-7.11%,18.06,16.95%
Barlow-Light.ttf,15.30,13.97,-8.69%,14.22,-7.02%,17.57,14.85%
Barlow-LightItalic.ttf,15.46,14.09,-8.87%,14.37,-7.10%,17.98,16.28%
Barlow-Medium.ttf,15.36,14.00,-8.85%,14.26,-7.18%,17.71,15.24%
Barlow-MediumItalic.ttf,15.40,14.05,-8.75%,14.32,-6.98%,18.04,17.15%
Barlow-Regular.ttf,15.36,14.00,-8.85%,14.25,-7.19%,17.70,15.25%
Barlow-SemiBold.ttf,15.39,14.04,-8.79%,14.29,-7.13%,17.74,15.25%
Barlow-SemiBoldItalic.ttf,15.47,14.10,-8.86%,14.38,-7.09%,18.09,16.91%
Barlow-Thin.ttf,15.17,13.81,-8.96%,14.07,-7.27%,17.22,13.52%
Barlow-ThinItalic.ttf,15.27,13.90,-8.94%,14.18,-7.15%,17.57,15.04%
BarlowCondensed-Black.ttf,13.34,11.92,-10.63%,12.08,-9.47%,14.07,5.51%
BarlowCondensed-BlackItalic.ttf,13.41,11.98,-10.66%,12.15,-9.42%,14.30,6.61%
BarlowCondensed-Bold.ttf,14.77,13.22,-10.47%,13.39,-9.31%,16.34,10.65%
BarlowCondensed-BoldItalic.ttf,14.83,13.26,-10.55%,13.45,-9.31%,16.56,11.71%
